"subjectArea","catalog","firstName","lastName","studentId","nbTimesTaken"
"AHSC","330","Breia","Crowell","43248687","2"
"ANTH","270","Sanya","Ray","41103045","2"
"ANTH","345","Sinead","Thomas","47855211","2"
"ANTH","472","Danee","Lam","41687401","2"
"SOCI","472","Danee","Lam","41687401","2"
"ARTH","200","Tiwanna","Phelps","42266030","2"
"ARTH","266","Romy","Spence","43970807","2"
"ATRP","624","Keane","Lowry","45656225","2"
"BIOL","227","Brandelyn","Williford","46414172","2"
"BIOL","350","Mahmoud","Scarborough","44328251","2"
"BIOL","351","Lorilei","Bishop","47062293","2"
"BLDG","365","Sheren","Mitchell","43177841","2"
"BLDG","6071","Evalina","Bruce","44111281","2"
"CART","212","Stepahnie","Bradford","48779825","2"
"CHEM","221","Therron","Brandon","49621189","2"
"CIVI","432","Jameca","Golden","49370084","2"
"CIVI","483","Sherard","Gilliam","47931566","2"
"COEN","313","Brandelyn","Williford","46414172","2"
"COEN","313","Gladis","Frazier","49832947","2"
"COMP","249","Leshay","Marks","43331314","2"
"COMP","346","Sarkis","Peele","49107786","2"
"COMP","445","Linsday","Petersen","42884783","2"
"COMP","5481","Viliami","Boyette","41656779","2"
"COMS","240","Agustine","Alexander","41630765","2"
"COMS","370","Stevi","Dunn","48964072","2"
"COMS","695B","Teressa","Manning","41358236","2"
"COMS","861","Lacye","Yu","43152116","2"
"DANC","301","Justeen","Moon","49857777","2"
"ECON","615","Zachariah","Braswell","49092469","2"
"ECON","662","Hollyann","Sutton","43446352","2"
"ELEC","442","Jaquitta","Cobb","46215613","2"
"ENGL","384","Serena","Raynor","47414185","2"
"ENGL","441","Charese","Wood","44351512","2"
"ENGL","451","Joann","Ivey","44523268","2"
"ENGL","646","Shunda","May","49777638","2"
"ENGR","6411","Cherita","Herndon","41217532","2"
"ESTU","608","Venessa","Brantley","46985710","2"
"ETEC","536","Su","Dickens","45922911","2"
"ETEC","640","Jessieca","Rodriguez","44346566","2"
"ETEC","650","Dustyn","Brennan","43478189","2"
"EXCI","460","Adrienne","Brooks","41354838","2"
"FINA","320","Lavanda","Mathews","45650811","2"
"FLIT","230","Emmanuelle","Hurley","43248110","2"
"FLIZ","230","Emmanuelle","Hurley","43248110","2"
"FPST","297","Garrett","Morris","49501430","2"
"FRAN","215","Rami","Hull","44448879","2"
"FTRA","202","Nicholai","Yates","43988012","2"
"GEOL","210","Robertson","Swanson","49670104","2"
"GERM","270","Dewan","Connor","48636591","2"
"GERM","305","Orrin","Porter","42867964","2"
"HIST","201","Nickolaus","Wyatt","45946783","2"
"HISZ","201","Nickolaus","Wyatt","45946783","2"
"HIST","235","Keishawna","Morrison","49661907","2"
"HIST","277","Takara","Nolan","41477344","2"
"HIST","281","Jonisha","Pridgen","48300318","2"
"HISZ","281","Jonisha","Pridgen","48300318","2"
